Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R1.0,R1.1,R1.2,R2.0,R2.1,R2.2,R3.0,R3.1,R3.2,R4.1,Recruits
101,Coho,Buskin River,Westward,1,1989,9356,0,2275,0,213,8774,0,0,648,0,0,11910
101,Coho,Buskin River,Westward,1,1990,6039,0,2143,38,40,8082,37,38,262,0,0,10640
101,Coho,Buskin River,Westward,1,1991,8434,0,3431,0,229,8938,44,0,1049,0,69,13760
101,Coho,Buskin River,Westward,1,1992,6358,0,2767,0,37,8215,0,0,1517,0,0,12536
101,Coho,Buskin River,Westward,1,1993,6318,37,2578,0,0,10139,55,69,1265,44,44,14231
101,Coho,Buskin River,Westward,1,1994,7855,0,2897,0,138,9074,177,110,2392,0,0,14788
101,Coho,Buskin River,Westward,1,1995,8438,0,2310,0,0,9079,160,44,917,0,0,12510
101,Coho,Buskin River,Westward,1,1996,8141,0,2303,0,44,8733,42,40,42,0,0,11204
101,Coho,Buskin River,Westward,1,1997,10582,0,2153,0,40,8526,0,42,422,0,0,11183
101,Coho,Buskin River,Westward,1,1998,8742,0,8106,0,210,11641,0,47,1375,0,0,21379
101,Coho,Buskin River,Westward,1,1999,9383,0,2159,0,94,11846,0,89,2137,0,0,16325
101,Coho,Buskin River,Westward,1,2000,7737,0,3683,0,311,9653,0,0,1325,0,0,14972
101,Coho,Buskin River,Westward,1,2001,13214,0,3624,0,0,14969,0,0,1135,0,0,19728
101,Coho,Buskin River,Westward,1,2002,10349,38,5233,0,66,15200,0,28,141,0,0,20706
101,Coho,Buskin River,Westward,1,2003,12754,66,5039,0,55,11954,0,0,258,0,0,17372
101,Coho,Buskin River,Westward,1,2004,9016,0,2883,0,492,9153,0,64,705,0,0,13297
101,Coho,Buskin River,Westward,1,2005,16235,70,4061,0,64,12782,0,0,185,0,0,17162
101,Coho,Buskin River,Westward,1,2006,12560,0,2013,0,302,7602,0,124,1047,0,0,11088
101,Coho,Buskin River,Westward,1,2007,8375,0,1483,0,371,6805,95,0,95,0,91,8940
101,Coho,Buskin River,Westward,1,2008,8176,0,1570,0,0,7158,0,95,273,0,0,9096
101,Coho,Buskin River,Westward,1,2009,9583,0,191,0,191,8931,0,0,223,0,0,9536
101,Coho,Buskin River,Westward,1,2010,6239,0,1185,0,365,11810,0,0,960,0,0,14320
101,Coho,Buskin River,Westward,0,2011,5298,0,1671,NA,0,NA,NA,NA,NA,NA,NA,1671
101,Coho,Buskin River,Westward,0,2012,4906,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
101,Coho,Buskin River,Westward,0,2013,4974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Coho,Buskin River,Westward,0,2014,7335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Coho,Buskin River,Westward,0,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Coho,Kuskokwim River,AYK,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
102,Coho,Kuskokwim River,AYK,0,1995,NA,NA,NA,NA,NA,NA,0,NA,13971,0,0,13971
102,Coho,Kuskokwim River,AYK,0,1996,NA,NA,NA,0,NA,834971,0,NA,75320,0,0,910291
102,Coho,Kuskokwim River,AYK,1,1997,NA,NA,26504,0,NA,633721,0,NA,56035,0,0,716260
102,Coho,Kuskokwim River,AYK,1,1998,NA,NA,34162,0,NA,569779,0,NA,217610,0,0,821551
102,Coho,Kuskokwim River,AYK,1,1999,NA,NA,5250,0,NA,2338675,0,NA,104441,0,0,2448366
102,Coho,Kuskokwim River,AYK,1,2000,567210,NA,140874,0,NA,1531373,0,NA,80675,0,0,1752922
102,Coho,Kuskokwim River,AYK,1,2001,515962,NA,43776,0,NA,700131,0,NA,25098,0,0,769005
102,Coho,Kuskokwim River,AYK,1,2002,500566,NA,38906,0,NA,590053,0,NA,32153,0,0,661112
102,Coho,Kuskokwim River,AYK,1,2003,2375943,NA,78165,0,NA,707930,0,NA,161761,0,0,947856
102,Coho,Kuskokwim River,AYK,1,2004,1191700,NA,37402,0,NA,925798,0,NA,50580,0,0,1013780
102,Coho,Kuskokwim River,AYK,1,2005,639004,NA,42598,0,NA,647622,0,NA,28419,422,0,719061
102,Coho,Kuskokwim River,AYK,1,2006,464617,NA,25325,0,NA,448409,0,NA,73496,0,185,547415
102,Coho,Kuskokwim River,AYK,0,2007,597110,NA,23113,0,NA,1018522,0,NA,45742,0,0,1087377
102,Coho,Kuskokwim River,AYK,0,2008,931753,NA,78301,0,NA,447606.9,0,NA,NA,NA,NA,525907.9
102,Coho,Kuskokwim River,AYK,0,2009,583283,NA,65791,0,NA,NA,0,NA,NA,NA,NA,65791
