Stock.ID,Species,Stock,Ocean.Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID
101,Chinook,Ayakulik,GoA,Westward,Kodiak,AK,57.1978276,-154.53849,1
102,Chinook,Karluk,GoA,Westward,Kodiak,AK,57.563,-154.3843,1
103,Chinook,Chignik,GoA,Westward,AK Peninsula,AK,56.2615981,-158.71224,2
104,Chinook,Nelson,GoA,Westward,AK Peninsula,AK,55.810523,-161.25646,3
105,Chinook,Goodnews,BS,AYK,Kuskokwim,AK,59.15992,-161.6119,4
106,Chinook,Andrew Creek,NC,Southeast,SEAK,AK,56.63997,-132.2,5
107,Chinook,Chickamin,NC,Southeast,SEAK,AK,55.8174772,-130.93326,5
108,Chinook,Chilkat,NC,Southeast,SEAK,AK,59.3721353,-135.94325,5
109,Chinook,King Salmon River,NC,Southeast,SEAK,AK,58.0420026,-134.34145,5
110,Chinook,Stikine,NC,Southeast,SEAK,AK,56.6917175,-132.21863,5
111,Chinook,Unuk,NC,Southeast,SEAK,AK,56.0768125,-131.077,5
112,Chinook,Alsek/Klukshu,NC,Southeast,SEAK,AK,60.11632,-137.033,5
113,Chinook,Situk,NC,Southeast,SEAK,AK,59.4579521,-139.57143,5
117,Chinook,Nushagak,BS,Bristol Bay,Bristol Bay,AK,58.9061423,-157.73358,7
120,Chinook,Unalakleet,BS,Norton Sound,Norton Sound,AK,63.89104,-160.47841,10
121,Chinook,Copper,GoA,Prince William Sound,Central AK,AK,60.46,-144.96,10
122,Chinook,Deshka,GoA,Cook Inlet,Central AK,AK,61.21,-150.62,11
123,Chinook,Susitna,GoA,Cook Inlet,Central AK,AK,61.21,-150.62,11
124,Chinook,Talkeetna,GoA,Cook Inlet,Central AK,AK,61.21,-150.62,11
125,Chinook,Yentna,GoA,Cook Inlet,Central AK,AK,61.21,-150.62,11
126,Chinook,Kenai - Early,GoA,Cook Inlet,Central AK,AK,60.54,-151.33,12
127,Chinook,Kenai - Late,GoA,Cook Inlet,Central AK,AK,60.54,-151.33,12
128,Chinook,Blossom,NC,Southeast,SEAK,AK,55.402008,-130.60741,13
129,Chinook,Keta,NC,Southeast,SEAK,AK,55.402008,-130.60741,13
130,Chinook,Anchor,GoA,Cook Inlet,Central AK,AK,59.8,-151.9,14
131,Chinook,East Fork Andreafsky,BS,AYK,Yukon,AK,62.55,-165,15
132,Chinook,Gisasa,BS,AYK,Yukon,AK,62.55,-165,15
133,Chinook,Salcha,BS,AYK,Yukon,AK,62.55,-165,16
134,Chinook,Chena,BS,AYK,Yukon,AK,62.55,-165,16
135,Chinook,Aniak,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
136,Chinook,George,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
137,Chinook,Holokuk,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
138,Chinook,Kogrukluk,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
139,Chinook,Kwethluk,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
140,Chinook,Pitka,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
141,Chinook,Swift,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
142,Chinook,Takotna,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
143,Chinook,Tatlawiksuk,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
144,Chinook,Tuluksak,BS,AYK,Kuskokwim,AK,60.0407,-162.4261,17
145,Chinook,Big Salmon,BS,AYK,Yukon,AK,62.55,-165,18
146,Chinook,Middle Yukon,BS,AYK,Yukon,AK,62.55,-165,18
147,Chinook,Nordenskiold,BS,AYK,Yukon,AK,62.55,-165,18
148,Chinook,Northern Yukon,BS,AYK,Yukon,AK,62.55,-165,18
149,Chinook,Pelly,BS,AYK,Yukon,AK,62.55,-165,18
150,Chinook,Stewart,BS,AYK,Yukon,AK,62.55,-165,18
151,Chinook,Upper Yukon,BS,AYK,Yukon,AK,62.55,-165,18
152,Chinook,White,BS,AYK,Yukon,AK,62.55,-165,18
153,Chinook,Teslin,BS,AYK,Yukon,AK,62.55,-165,18
