"regionname","species","location","locationtype","cuid","parameter","datavalue"
"Central Coast","Chinook","Bella Coola-Bentinck","Conservation Unit","512","catch_quality","5"
"Central Coast","Chinook","Bella Coola-Bentinck","Conservation Unit","512","dq_score","13"
"Central Coast","Chinook","Bella Coola-Bentinck","Conservation Unit","512","survey_coverage","5"
"Central Coast","Chinook","Bella Coola-Bentinck","Conservation Unit","512","survey_execution","2"
"Central Coast","Chinook","Bella Coola-Bentinck","Conservation Unit","512","survey_quality","1"
"Central Coast","Chinook","Dean River","Conservation Unit","513","catch_quality","3"
"Central Coast","Chinook","Dean River","Conservation Unit","513","dq_score","10"
"Central Coast","Chinook","Dean River","Conservation Unit","513","survey_coverage","5"
"Central Coast","Chinook","Dean River","Conservation Unit","513","survey_execution","1"
"Central Coast","Chinook","Dean River","Conservation Unit","513","survey_quality","1"
"Central Coast","Chinook","Docee","Conservation Unit","509","catch_quality","0"
"Central Coast","Chinook","Docee","Conservation Unit","509","dq_score","0"
"Central Coast","Chinook","Docee","Conservation Unit","509","survey_coverage","0"
"Central Coast","Chinook","Docee","Conservation Unit","509","survey_execution","0"
"Central Coast","Chinook","Docee","Conservation Unit","509","survey_quality","0"
"Central Coast","Chinook","North & Central Coast-Early","Conservation Unit","515","catch_quality","3"
"Central Coast","Chinook","North & Central Coast-Early","Conservation Unit","515","dq_score","7"
"Central Coast","Chinook","North & Central Coast-Early","Conservation Unit","515","survey_coverage","1"
"Central Coast","Chinook","North & Central Coast-Early","Conservation Unit","515","survey_execution","3"
"Central Coast","Chinook","North & Central Coast-Early","Conservation Unit","515","survey_quality","0"
"Central Coast","Chinook","North & Central Coast-Late","Conservation Unit","514","catch_quality","0"
"Central Coast","Chinook","North & Central Coast-Late","Conservation Unit","514","dq_score","0"
"Central Coast","Chinook","North & Central Coast-Late","Conservation Unit","514","survey_coverage","0"
"Central Coast","Chinook","North & Central Coast-Late","Conservation Unit","514","survey_execution","0"
"Central Coast","Chinook","North & Central Coast-Late","Conservation Unit","514","survey_quality","0"
"Central Coast","Chinook","Rivers Inlet","Conservation Unit","510","catch_quality","3"
"Central Coast","Chinook","Rivers Inlet","Conservation Unit","510","dq_score","8"
"Central Coast","Chinook","Rivers Inlet","Conservation Unit","510","survey_coverage","3"
"Central Coast","Chinook","Rivers Inlet","Conservation Unit","510","survey_execution","1"
"Central Coast","Chinook","Rivers Inlet","Conservation Unit","510","survey_quality","1"
"Central Coast","Chinook","Wannock","Conservation Unit","511","catch_quality","3"
"Central Coast","Chinook","Wannock","Conservation Unit","511","dq_score","9"
"Central Coast","Chinook","Wannock","Conservation Unit","511","survey_coverage","3"
"Central Coast","Chinook","Wannock","Conservation Unit","511","survey_execution","2"
"Central Coast","Chinook","Wannock","Conservation Unit","511","survey_quality","1"
"Central Coast","Chum","Bella Coola-Dean Rivers","Conservation Unit","504","catch_quality","2"
"Central Coast","Chum","Bella Coola-Dean Rivers","Conservation Unit","504","dq_score","12"
"Central Coast","Chum","Bella Coola-Dean Rivers","Conservation Unit","504","survey_coverage","5"
"Central Coast","Chum","Bella Coola-Dean Rivers","Conservation Unit","504","survey_execution","4"
"Central Coast","Chum","Bella Coola-Dean Rivers","Conservation Unit","504","survey_quality","1"
"Central Coast","Chum","Bella Coola River-Late","Conservation Unit","505","catch_quality","0"
"Central Coast","Chum","Bella Coola River-Late","Conservation Unit","505","dq_score","0"
"Central Coast","Chum","Bella Coola River-Late","Conservation Unit","505","survey_coverage","0"
"Central Coast","Chum","Bella Coola River-Late","Conservation Unit","505","survey_execution","0"
"Central Coast","Chum","Bella Coola River-Late","Conservation Unit","505","survey_quality","0"
"Central Coast","Chum","Douglas-Gardner","Conservation Unit","508","catch_quality","2"
"Central Coast","Chum","Douglas-Gardner","Conservation Unit","508","dq_score","11"
"Central Coast","Chum","Douglas-Gardner","Conservation Unit","508","survey_coverage","2"
"Central Coast","Chum","Douglas-Gardner","Conservation Unit","508","survey_execution","5"
"Central Coast","Chum","Douglas-Gardner","Conservation Unit","508","survey_quality","2"
"Central Coast","Chum","Hecate Lowlands","Conservation Unit","506","catch_quality","2"
"Central Coast","Chum","Hecate Lowlands","Conservation Unit","506","dq_score","9"
"Central Coast","Chum","Hecate Lowlands","Conservation Unit","506","survey_coverage","3"
"Central Coast","Chum","Hecate Lowlands","Conservation Unit","506","survey_execution","3"
"Central Coast","Chum","Hecate Lowlands","Conservation Unit","506","survey_quality","1"
"Central Coast","Chum","Mussel-Kynoch","Conservation Unit","507","catch_quality","2"
"Central Coast","Chum","Mussel-Kynoch","Conservation Unit","507","dq_score","12"
"Central Coast","Chum","Mussel-Kynoch","Conservation Unit","507","survey_coverage","5"
"Central Coast","Chum","Mussel-Kynoch","Conservation Unit","507","survey_execution","4"
"Central Coast","Chum","Mussel-Kynoch","Conservation Unit","507","survey_quality","1"
"Central Coast","Chum","Rivers Inlet","Conservation Unit","501","catch_quality","2"
"Central Coast","Chum","Rivers Inlet","Conservation Unit","501","dq_score","7"
"Central Coast","Chum","Rivers Inlet","Conservation Unit","501","survey_coverage","2"
"Central Coast","Chum","Rivers Inlet","Conservation Unit","501","survey_execution","2"
"Central Coast","Chum","Rivers Inlet","Conservation Unit","501","survey_quality","1"
"Central Coast","Chum","Smith Inlet","Conservation Unit","500","catch_quality","2"
"Central Coast","Chum","Smith Inlet","Conservation Unit","500","dq_score","11"
"Central Coast","Chum","Smith Inlet","Conservation Unit","500","survey_coverage","5"
"Central Coast","Chum","Smith Inlet","Conservation Unit","500","survey_execution","3"
"Central Coast","Chum","Smith Inlet","Conservation Unit","500","survey_quality","1"
"Central Coast","Chum","Spiller-Fitz-Hugh-Burke","Conservation Unit","503","catch_quality","2"
"Central Coast","Chum","Spiller-Fitz-Hugh-Burke","Conservation Unit","503","dq_score","9"
"Central Coast","Chum","Spiller-Fitz-Hugh-Burke","Conservation Unit","503","survey_coverage","3"
"Central Coast","Chum","Spiller-Fitz-Hugh-Burke","Conservation Unit","503","survey_execution","3"
"Central Coast","Chum","Spiller-Fitz-Hugh-Burke","Conservation Unit","503","survey_quality","1"
"Central Coast","Chum","Wannock","Conservation Unit","502","catch_quality","0"
"Central Coast","Chum","Wannock","Conservation Unit","502","dq_score","0"
"Central Coast","Chum","Wannock","Conservation Unit","502","survey_coverage","0"
"Central Coast","Chum","Wannock","Conservation Unit","502","survey_execution","0"
"Central Coast","Chum","Wannock","Conservation Unit","502","survey_quality","0"
"Central Coast","Coho","Bella Coola-Dean Rivers","Conservation Unit","518","catch_quality","1"
"Central Coast","Coho","Bella Coola-Dean Rivers","Conservation Unit","518","dq_score","11"
"Central Coast","Coho","Bella Coola-Dean Rivers","Conservation Unit","518","survey_coverage","5"
"Central Coast","Coho","Bella Coola-Dean Rivers","Conservation Unit","518","survey_execution","4"
"Central Coast","Coho","Bella Coola-Dean Rivers","Conservation Unit","518","survey_quality","1"
"Central Coast","Coho","Brim-Wahoo","Conservation Unit","521","catch_quality","1"
"Central Coast","Coho","Brim-Wahoo","Conservation Unit","521","dq_score","11"
"Central Coast","Coho","Brim-Wahoo","Conservation Unit","521","survey_coverage","5"
"Central Coast","Coho","Brim-Wahoo","Conservation Unit","521","survey_execution","5"
"Central Coast","Coho","Brim-Wahoo","Conservation Unit","521","survey_quality","0"
"Central Coast","Coho","Douglas Channel-Kitimat Arm","Conservation Unit","522","catch_quality","1"
"Central Coast","Coho","Douglas Channel-Kitimat Arm","Conservation Unit","522","dq_score","7"
"Central Coast","Coho","Douglas Channel-Kitimat Arm","Conservation Unit","522","survey_coverage","2"
"Central Coast","Coho","Douglas Channel-Kitimat Arm","Conservation Unit","522","survey_execution","4"
"Central Coast","Coho","Douglas Channel-Kitimat Arm","Conservation Unit","522","survey_quality","0"
