parameter,location,species,year,datavalue
catch_quality,Bella Coola-Bentinck,Chinook,,5
catch_quality,Boundary Bay (Fall 4-1),Chinook,,0
catch_quality,Dean River,Chinook,,3
catch_quality,Docee,Chinook,,0
catch_quality,East Haida Gwaii,Chinook,,0
catch_quality,East Vancouver Island-Cowichan and Koksilah (Fall x-1),Chinook,,0
catch_quality,East Vancouver Island-Georgia Strait (Summer 4-1),Chinook,,0
catch_quality,East Vancouver Island-Goldstream (Fall x-1),Chinook,,0
catch_quality,East Vancouver Island-Nanaimo (Spring x-2),Chinook,,0
catch_quality,East Vancouver Island-Nanaimo and Chemainus (Fall x-1),Chinook,,0
catch_quality,East Vancouver Island-North (Fall x-1),Chinook,,0
catch_quality,East Vancouver Island-Qualicum and Puntledge (Fall x-1),Chinook,,0
catch_quality,Ecstall,Chinook,,0
catch_quality,Fraser Canyon-Nahatlatch (Spring 5-2),Chinook,,0
catch_quality,Homathko (Summer x-x),Chinook,,0
catch_quality,Kalum-Early,Chinook,,0
catch_quality,Kalum-Late,Chinook,,5
catch_quality,Klinaklini (Summer 5-2),Chinook,,0
catch_quality,Lakelse,Chinook,,0
catch_quality,Lower Fraser River-Maria Slough (Summer 4-1),Chinook,,0
catch_quality,Lower Fraser River-Upper Pitt (Summer 5-2),Chinook,,0
catch_quality,Lower Fraser River (Fall 4-1),Chinook,,0
catch_quality,Lower Fraser River (Spring 5-2),Chinook,,0
catch_quality,Lower Fraser River (Summer 5-2),Chinook,,0
catch_quality,Lower Skeena,Chinook,,5
catch_quality,Lower Thompson River (Spring 4-2),Chinook,,0
catch_quality,Middle Fraser River-Portage (Fall 5-2),Chinook,,0
catch_quality,Middle Fraser River (Spring 5-2),Chinook,,0
catch_quality,Middle Fraser River (Summer 5-2),Chinook,,0
catch_quality,Middle Skeena-Large Lakes,Chinook,,5
catch_quality,Middle Skeena-Mainstem Tributaries,Chinook,,5
catch_quality,North & Central Coast-Early,Chinook,,3
catch_quality,North & Central Coast-Late,Chinook,,0
catch_quality,North Haida Gwaii,Chinook,,0
catch_quality,North Thompson River (Spring 5-2),Chinook,,0
catch_quality,North Thompson River (Summer 5-2),Chinook,,0
catch_quality,Rivers Inlet,Chinook,,3
catch_quality,Shuswap River (Summer 4-1),Chinook,,0
catch_quality,Sicintine,Chinook,,0
catch_quality,Skeena Estuary,Chinook,,0
catch_quality,South Thompson-Adams River Upper,Chinook,,0
catch_quality,South Thompson River-Bessette Creek (Summer 4-2),Chinook,,0
catch_quality,South Thompson River (Summer 4-1),Chinook,,0
catch_quality,South Thompson River (Summer 5-2),Chinook,,0
catch_quality,Southern Mainland-Georgia Strait (Fall x-1),Chinook,,0
catch_quality,Southern Mainland-Southern Fjords (Fall x-1),Chinook,,0
catch_quality,Upper Bulkley River,Chinook,,0
catch_quality,Upper Fraser River (Spring 5-2),Chinook,,0
catch_quality,Upper Skeena,Chinook,,0
catch_quality,Wannock,Chinook,,3
catch_quality,West Vancouver Island-Nootka and Kyuquot (Fall x-1),Chinook,,0
catch_quality,West Vancouver Island-North (Fall x-1),Chinook,,0
catch_quality,West Vancouver Island-South (Fall x-1),Chinook,,0
catch_quality,Zymoetz,Chinook,,0
catch_quality,Bella Coola-Dean Rivers,Chum,,2
catch_quality,Bella Coola River-Late,Chum,,0
catch_quality,Bute Inlet,Chum,,0
catch_quality,Douglas-Gardner,Chum,,2
catch_quality,East Haida Gwaii,Chum,,2
catch_quality,Georgia Strait,Chum,,0
catch_quality,Hecate Lowlands,Chum,,2
catch_quality,Howe Sound-Burrard Inlet,Chum,,0
catch_quality,Loughborough,Chum,,0
catch_quality,Lower Fraser,Chum,,0
catch_quality,Lower Skeena,Chum,,3
catch_quality,Middle Skeena,Chum,,3
catch_quality,Mussel-Kynoch,Chum,,2
catch_quality,North Haida Gwaii,Chum,,2
