stock.id,species,run,stock,region,sub.region,broodYr,spawn,rec,large.region
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1980,238038,545500,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1981,214728,318386,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1982,104503,280870,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1983,172143,319246,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1984,108151,503626,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1985,170739,939836,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1986,98921,870243,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1987,83395,1088611,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1988,140660,690272,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1989,204804,1069218,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1990,262946,1188080,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1991,173913,376415,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1992,195830,503964,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1993,197988,540820,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1994,204441,787727,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1995,107961,713745,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1996,119629,503017,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1997,145311,348670,BS
,,,,,,,,,
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1998,193420,226082,BS
,,,,,,,,,
