"","stock.id","species","stock.name","lat","lon","ocean.basin","state","begin","end","n.years","max.spawners","max.recruits","source","url","comments"
"1",1,"Pink-Odd","Puyallup-Pink-Odd","47.26972","122.4272","WC","WA",1959,2019,31,1203364,1502355,"Marisa Litz, WDFW, April 2023",NA,""
"2",2,"Pink-Odd","Hood Canal-Pink-Odd","47.5644","122.9956","WC","WA",1959,2019,31,549512,901739,"Marisa Litz, WDFW, April 2023",NA,"Sum of Dosewallips, Duckabush, and Hamma Hamma"
"3",3,"Pink-Odd","Snohomish-Pink-Odd","48.02139","122.2072","WC","WA",1959,2019,31,1929839,3054656,"Marisa Litz, WDFW, April 2023",NA,""
"4",4,"Pink-Odd","Dungeness-Pink-Odd","48.1508","123.1333","WC","WA",1959,2019,31,4e+05,638225,"Marisa Litz, WDFW, April 2023",NA,""
"5",5,"Pink-Odd","Stillaguamish-Pink-Odd","48.23861","122.3758","WC","WA",1959,2019,31,952534,2287418,"Marisa Litz, WDFW, April 2023",NA,""
"6",6,"Pink-Odd","Skagit-Pink-Odd","48.3875","122.3656","WC","WA",1959,2019,31,1190000,5008979,"Marisa Litz, WDFW, April 2023",NA,""
"7",7,"Pink-Odd","Nooksack-Pink-Odd","48.775","122.5978","WC","WA",1959,2019,31,247000,591801,"Marisa Litz, WDFW, April 2023",NA,""
"8",8,"Pink-Odd","Nisqually-Pink-Odd","47.101","-122.706","WC","WA",1959,2019,31,815887,921434,"Marisa Litz, WDFW, April 2023",NA,NA
"9",9,"Pink-Odd","S South Misc.-Pink-Odd","447.16","-122.91","WC","WA",1959,2019,31,1492,2374,"Marisa Litz, WDFW, April 2023",NA,NA
"10",10,"Pink-Odd","Fraser-Pink-Odd","49.12333","123.0569","WC","BC",1961,2021,31,22181030,24250000,NA,NA,""
"11",11,"Pink-Even","S SEAK-Pink-Even","55.71556","131.8714","WC","AK",1960,2008,25,29750273,83426596,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 101-108"
"12",12,"Pink-Odd","S SEAK-Pink-Odd","55.71556","131.8714","WC","AK",1961,2007,24,28189610,79477238,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 101-108"
"13",13,"Pink-Even","N SEAK Outside-Pink-Even","57.17694","135.7869","WC","AK",1960,2008,25,5741703,9561585,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 109-112, 114, 115"
"14",14,"Pink-Odd","N SEAK Outside-Pink-Odd","57.17694","135.7869","WC","AK",1961,2007,24,6271490,11292515,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 109-112, 114, 115"
