stock.id,species,stock.name,lat,lon,region,ocean.basin,state,begin,end,n.years,m.spawners,m.recruits,source,url,comments
1,Sockeye,Atnarko-Sockeye,52.38,-126.78,Central Coast,WC,BC,1987,2011,25,22.5472,26.48612,NA,NA,NA
2,Sockeye,Black Lake-Sockeye,56.28,-158.64,Chignik,GOA,AK,1965,2010,46,447.3696824,1322.084413,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Chignik River Early Run,NA
3,Sockeye,Coghill-Sockeye,61.06,-147.94,Prince William Sound,GOA,AK,1962,2008,47,52.17208511,175.9369574,"Rich Brenner, 2017, ADF&G, Juneau, AK","Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis.",NA
4,Sockeye,Copper-Sockeye,60.46,-144.96,Prince William Sound,GOA,AK,1961,2010,50,527.1007344,1622.06487,"Rich Brenner, 2017, ADF&G, Juneau, AK","Used the ""Wild_BY_Return"" worksheet.  Hatchery component of the run was removed by subtracting hatchery salmon post season and assuming age composition matches that of hatchery fish; upper and lower river values combined because runs not identified in harvests. With wild vs. hatchery, and delta vs. upriver components, the Copper River can get really complicated. Also, the Miles Lake sonar cannot distinguish between various species. Thus, Chinook salmon are subtracted from the sonar counts post-season, as are estimates of fish harvest upriver in personal use and subsistence fisheries.",NA
5,Sockeye,Eshamy-Sockeye,60.47,-147.94,Prince William Sound,GOA,AK,1964,2006,35,28.10322857,63.73780714,"Rich Brenner, 2017, ADF&G, Juneau, AK","the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns.",NA
6,Sockeye,Fennell-Sockeye,49.12,-123.06,Fraser,WC,BC,1963,2011,46,3.756673913,23.27291304,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,NA
7,Sockeye,Frazer-Sockeye,57.13,-154.04,Kodiak,GOA,AK,1966,2009,44,157.794,403.8371818,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,NA
8,Sockeye,Washington-Sockeye,47.48,-122.42,Washington,WC,WA,1968,2011,44,177.4529091,202.7150227,"Aaron Dufault 2017
Arron Dufault, Washington Department of Fish and Wildlife, Olympia, WA (via G. Ruggerone)",Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake.,NA
9,Sockeye,Early Stuart-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,41.48651471,276.0070147,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
10,Sockeye,Late Stuart-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,130.0745147,492.6619412,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
11,Sockeye,Stellako-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,55.21495588,441.1141618,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
12,Sockeye,Bowron-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,4.352985294,35.07422059,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
13,Sockeye,Raft-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,4.311941176,30.30327941,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
14,Sockeye,Quesnel-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,170.5159412,1227.626662,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
15,Sockeye,Chilko-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,225.7188824,1425.324588,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
16,Sockeye,Seymour-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,18.94005882,138.2543676,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
17,Sockeye,Late Shuswap-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,67,348.2411045,2298.870522,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
18,Sockeye,Birkenhead-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,43.50376471,338.8882941,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
19,Sockeye,Cultus-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,10.32229412,34.62955882,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
20,Sockeye,Portage-Sockeye,49.12,-123.06,Fraser,WC,BC,1951,2015,62,3.631387097,40.20590323,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
21,Sockeye,Weaver-Sockeye,49.12,-123.06,Fraser,WC,BC,1966,2015,50,21.63456,308.54896,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
22,Sockeye,North Barriere-Sockeye,49.12,-123.06,Fraser,WC,BC,1958,2015,53,3.521490566,20.57024528,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
23,Sockeye,Scotch-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,53,12.37026415,76.53707547,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
24,Sockeye,Gates-Sockeye,49.12,-123.06,Fraser,WC,BC,1952,2015,64,4.505796875,44.56434375,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
25,Sockeye,Nadina-Sockeye,49.12,-123.06,Fraser,WC,BC,1973,2015,43,9.61444186,83.62123256,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
26,Sockeye,Pitt-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,15.01961765,69.33113235,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
27,Sockeye,Harrison-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,29.87602941,121.3314265,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
28,Sockeye,Babine-Early-Wild-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2015,56,54.48480357,106.4806862,"Charmaine Carr-Harris, DFO, 2023",NA,NA
29,Sockeye,Babine-Late-Wild-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2015,56,227.3312321,566.666752,"Charmaine Carr-Harris, DFO, 2023",NA,NA
30,Sockeye,Babine-Mid-Wild-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2015,56,22.72428571,47.42812368,"Charmaine Carr-Harris, DFO, 2023",NA,NA
31,Sockeye,Alastair-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2016,57,19.39729825,26.22157313,"Charmaine Carr-Harris, DFO, 2023",NA,NA
32,Sockeye,Johnston-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1965,1997,11,4.640545455,10.19289402,"Charmaine Carr-Harris, DFO, 2023",NA,NA
33,Sockeye,Kitsumkalum-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2017,47,9.631978723,20.31901006,"Charmaine Carr-Harris, DFO, 2023",NA,NA
34,Sockeye,Lakelse-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2017,52,16.472,19.49143226,"Charmaine Carr-Harris, DFO, 2023",NA,NA
35,Sockeye,Mcdonell-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2017,38,4.277789474,5.541969409,"Charmaine Carr-Harris, DFO, 2023",NA,NA
36,Sockeye,Kitwancool-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2017,20,3.3579,4.44807311,"Charmaine Carr-Harris, DFO, 2023",NA,NA
37,Sockeye,Morice-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2016,52,11.13561538,21.69146215,"Charmaine Carr-Harris, DFO, 2023",NA,NA
38,Sockeye,Swan-Stephens-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2017,27,26.23877778,42.31774704,"Charmaine Carr-Harris, DFO, 2023",NA,NA
39,Sockeye,Asitika-Sockeye,54.22,-129.831,Skeena,SEAK,BC,2003,2017,14,1.160285714,1.814099128,"Charmaine Carr-Harris, DFO, 2023",NA,NA
40,Sockeye,Bear-Skeena-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1960,2016,21,3.302714286,7.338925238,"Charmaine Carr-Harris, DFO, 2023",NA,NA
41,Sockeye,Damshilgwit-Sockeye,54.22,-129.831,Skeena,SEAK,BC,2000,2017,16,0.452625,0.66105,"Charmaine Carr-Harris, DFO, 2023",NA,NA
42,Sockeye,Motase-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1987,2017,19,0.534263158,0.826082255,"Charmaine Carr-Harris, DFO, 2023",NA,NA
43,Sockeye,Sustut-Sockeye,54.22,-129.831,Skeena,SEAK,BC,1963,2013,17,1.269411765,3.163770836,"Charmaine Carr-Harris, DFO, 2023",NA,NA
44,Sockeye,Upper Nass River-Sockeye,54.99,-130.02,Nass,SEAK,BC,2003,2015,13,0.446923077,0.951329231,"Charmaine Carr-Harris, DFO, 2023",NA,NA
45,Sockeye,Lower Nass-Portland-Sockeye,54.99,-130.02,Nass,SEAK,BC,1982,2015,34,10.13155882,27.66486088,"Charmaine Carr-Harris, DFO, 2023",NA,NA
46,Sockeye,Meziadin-Sockeye,54.99,-130.02,Nass,SEAK,BC,1982,2015,34,185.1851765,506.6732708,"Charmaine Carr-Harris, DFO, 2023",NA,NA
47,Sockeye,Damdochax-Sockeye,54.99,-130.02,Nass,SEAK,BC,1982,2011,21,3.712142857,11.67838095,"Salmon Watersheds Program, PSF, 2022",NA,NA
48,Sockeye,Fred Wright-Sockeye,54.99,-130.02,Nass,SEAK,BC,1982,2012,18,8.423111111,31.11588889,"Salmon Watersheds Program, PSF, 2022",NA,NA
49,Sockeye,Owikeno-Sockeye,51.68,-127.306,Central Coast,WC,BC,1954,2011,58,554.5099655,790.2854828,"Salmon Watersheds Program, PSF, 2022",NA,NA
50,Sockeye,Canoona-Sockeye,53.08,-128.555,Central Coast,WC,BC,1975,2014,31,3.34516129,5.479903226,"Salmon Watersheds Program, PSF, 2022",NA,NA
51,Sockeye,Evelyn-Sockeye,53.56,-128.958,Central Coast,WC,BC,1954,2014,49,1.693061224,3.461510204,"Salmon Watersheds Program, PSF, 2022",NA,NA
52,Sockeye,Kainet Creek-Sockeye,52.75,-127.886,Central Coast,WC,BC,1956,2013,37,2.031351351,4.788216216,"Salmon Watersheds Program, PSF, 2022",NA,NA
53,Sockeye,Kitlope-Sockeye,52.246,-127.892,Central Coast,WC,BC,1954,2014,51,37.7745098,61.05227451,"Salmon Watersheds Program, PSF, 2022",NA,NA
54,Sockeye,Bloomfield-Sockeye,52.87,-128.69,Central Coast,WC,BC,1954,2008,44,1.43,2.54125,"Salmon Watersheds Program, PSF, 2022",NA,NA
55,Sockeye,Devon-Sockeye,53.45,-129.787,Central Coast,WC,BC,1960,2002,39,7.358974359,9.201435897,"Salmon Watersheds Program, PSF, 2022",NA,NA
56,Sockeye,Hartley Bay-Sockeye,53.42,-129.247,Central Coast,WC,BC,1955,2014,31,1.413225806,2.427774194,"Salmon Watersheds Program, PSF, 2022",NA,NA
57,Sockeye,Kadjusdis River-Sockeye,52.16,-128.046,Central Coast,WC,BC,1954,2006,29,3.69337931,10.70241379,"Salmon Watersheds Program, PSF, 2022",NA,NA
58,Sockeye,Keecha-Sockeye,53.31,-129.825,Central Coast,WC,BC,1960,2001,19,5.263157895,6.965,"Salmon Watersheds Program, PSF, 2022",NA,NA
