"stock.id","species","stock","region","sub.region","broodyear","spawners","recruits","use"
"201","Pink","Puyallup","Inside WA","Inside WA",1959,14000,35762,1
"201","Pink","Puyallup","Inside WA","Inside WA",1961,10000,115338,1
"201","Pink","Puyallup","Inside WA","Inside WA",1963,10221,36145,1
"201","Pink","Puyallup","Inside WA","Inside WA",1965,25131,45313,1
"201","Pink","Puyallup","Inside WA","Inside WA",1967,22038,24152,1
"201","Pink","Puyallup","Inside WA","Inside WA",1969,16003,66498,1
"201","Pink","Puyallup","Inside WA","Inside WA",1971,40000,32721,1
"201","Pink","Puyallup","Inside WA","Inside WA",1973,12194,38204,1
"201","Pink","Puyallup","Inside WA","Inside WA",1975,11800,57846,1
"201","Pink","Puyallup","Inside WA","Inside WA",1977,29429,111968,1
"201","Pink","Puyallup","Inside WA","Inside WA",1979,29481,37940,1
"201","Pink","Puyallup","Inside WA","Inside WA",1981,12115,25827,1
"201","Pink","Puyallup","Inside WA","Inside WA",1983,11600,54789,1
"201","Pink","Puyallup","Inside WA","Inside WA",1985,34100,48423,1
"201","Pink","Puyallup","Inside WA","Inside WA",1987,34400,113178,1
"201","Pink","Puyallup","Inside WA","Inside WA",1989,49850,24600,1
"201","Pink","Puyallup","Inside WA","Inside WA",1991,14000,14312,1
"201","Pink","Puyallup","Inside WA","Inside WA",1993,10069,27926,1
"201","Pink","Puyallup","Inside WA","Inside WA",1995,17596,3703,1
"201","Pink","Puyallup","Inside WA","Inside WA",1997,2732,4832,1
"201","Pink","Puyallup","Inside WA","Inside WA",1999,4653,18875,1
"201","Pink","Puyallup","Inside WA","Inside WA",2001,16577,213130,1
"201","Pink","Puyallup","Inside WA","Inside WA",2003,191515,323833,1
"201","Pink","Puyallup","Inside WA","Inside WA",2005,287230,471705,1
"201","Pink","Puyallup","Inside WA","Inside WA",2007,417767,1502355,1
"201","Pink","Puyallup","Inside WA","Inside WA",2009,1203364,1034234,1
"201","Pink","Puyallup","Inside WA","Inside WA",2011,792785,869920,1
"201","Pink","Puyallup","Inside WA","Inside WA",2013,596693,832550,1
"201","Pink","Puyallup","Inside WA","Inside WA",2015,626096,104208,1
"201","Pink","Puyallup","Inside WA","Inside WA",2017,85374,570753,1
"201","Pink","Puyallup","Inside WA","Inside WA",2019,515546,610026,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1959,30500,44967,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1961,36800,901739,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1963,503000,221037,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1965,160000,501233,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1967,269000,60227,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1969,42000,143701,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1971,104000,72276,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1973,46500,19748,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1975,12500,81580,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1977,44000,76320,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1979,37100,12426,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1981,6450,29372,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1983,25000,91463,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1985,63800,81812,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1987,62100,120813,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1989,60800,166550,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1991,118200,39519,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1993,35326,36244,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1995,31286,9685,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1997,8299,12981,1
"202","Pink","Hood Canal","Inside WA","Inside WA",1999,12663,104022,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2001,98261,40521,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2003,37462,17954,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2005,17442,30709,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2007,28964,11673,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2009,10797,15524,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2011,14275,203323,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2013,191676,591671,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2015,549512,28561,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2017,27174,57157,1
"202","Pink","Hood Canal","Inside WA","Inside WA",2019,55297,466969,1
"203","Pink","Snohomish","Inside WA","Inside WA",1959,85000,82669,1
"203","Pink","Snohomish","Inside WA","Inside WA",1961,50168,983024,1
"203","Pink","Snohomish","Inside WA","Inside WA",1963,275042,303210,1
"203","Pink","Snohomish","Inside WA","Inside WA",1965,185015,210943,1
"203","Pink","Snohomish","Inside WA","Inside WA",1967,95013,109266,1
"203","Pink","Snohomish","Inside WA","Inside WA",1969,70009,191706,1
"203","Pink","Snohomish","Inside WA","Inside WA",1971,125000,207379,1
