"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r5.1","r5.2","r5.3","r6","r6.2","r6.3","r6.4","r7","r7.2","r8","stock.id","logRS"
"88","Coghill-Sockeye","Sockeye",1978,42284,70302,0,NA,NA,0,0,655,8798,51329,NA,0,NA,NA,2139,7381,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.508391484007657
"89","Coghill-Sockeye","Sockeye",1979,48281,150406,0,NA,NA,0,0,270,17439,105297,NA,0,NA,NA,6351,21049,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.13630019581185
"90","Coghill-Sockeye","Sockeye",1980,142253,473655,0,NA,NA,0,0,162,37780,344020,NA,0,NA,NA,51571,40122,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.20287204616879
"91","Coghill-Sockeye","Sockeye",1981,156112,496237,0,NA,NA,0,0,436,92478,355917,NA,0,NA,NA,14589,32817,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.15647993681912
"92","Coghill-Sockeye","Sockeye",1982,180314,612158,0,NA,NA,0,0,154,58604,546985,NA,0,NA,NA,5829,586,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.22229064356821
"93","Coghill-Sockeye","Sockeye",1983,38783,106297,0,NA,NA,0,0,71,11755,86810,NA,0,NA,NA,448,7213,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.00825505665043
"94","Coghill-Sockeye","Sockeye",1984,63622,203086,0,NA,NA,0,0,1347,64775,133744,NA,0,NA,NA,2112,1108,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.16067021216763
"95","Coghill-Sockeye","Sockeye",1985,163342,16596,0,NA,NA,0,0,31,1682,12950,NA,0,NA,NA,1169,764,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-2.28668445978273
"96","Coghill-Sockeye","Sockeye",1986,74135,26916,0,NA,NA,0,0,34,4371,17266,NA,0,NA,NA,82,5163,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1.01316685014392
"97","Coghill-Sockeye","Sockeye",1987,187263,60051,0,NA,NA,0,0,20,2168,53696,NA,0,NA,NA,1418,2749,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1.13731984471199
"98","Coghill-Sockeye","Sockeye",1988,72023,50494,0,NA,NA,0,0,20,6913,41717,NA,0,NA,NA,1246,598,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.355130995107551
"99","Coghill-Sockeye","Sockeye",1989,36881,9410,0,NA,NA,0,0,11,2596,4662,NA,0,NA,NA,406,1735,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1.36592355969096
"100","Coghill-Sockeye","Sockeye",1990,8250,26127,0,NA,NA,0,0,49,3519,19808,NA,0,NA,NA,1018,1733,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.15275606203212
"101","Coghill-Sockeye","Sockeye",1991,9701,153809,0,NA,NA,0,0,106,38575,113543,NA,0,NA,NA,942,643,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.76348259993558
"102","Coghill-Sockeye","Sockeye",1992,29642,114126,0,NA,NA,0,0,160,14841,97316,NA,0,NA,NA,321,1488,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.34811082666404
"103","Coghill-Sockeye","Sockeye",1993,9232,67465,0,NA,NA,0,0,122,8466,58365,NA,0,NA,NA,230,282,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.98893323511701
"104","Coghill-Sockeye","Sockeye",1994,7264,27939,0,NA,NA,0,0,0,2313,9645,NA,0,NA,NA,3999,11982,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.34709292090864
"105","Coghill-Sockeye","Sockeye",1995,30382,317508,0,NA,NA,0,0,974,133941,177124,NA,0,NA,NA,2379,3090,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.34665268708023
