"","stock.id","species","stock.name","lat","lon","region","ocean.basin","state","begin","end","n.years","m.spawners","m.recruits","source","url","comments","age"
"1",1,"Sockeye","Atnarko-Sockeye","52.38",-126.78,"BC Central","SC","BC",1987,2011,25,22.5472,26.48612,NA,NA,NA,NA
"2",2,"Sockeye","Black Lake-Sockeye","56.28",-158.64,"Chignik","GoA","AK",1965,2010,46,447.36968243913,1322.08441304348,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Chignik River Early Run",NA,NA
"3",3,"Sockeye","Coghill-Sockeye","61.06",-147.94,"PWS","GoA","AK",1962,2008,47,52.172085106383,175.936957446809,"Rich Brenner, 2017, ADF&G, Juneau, AK","Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis.",NA,NA
"4",4,"Sockeye","Copper-Sockeye","60.46",-144.96,"PWS","GoA","AK",1961,2016,56,569.204512828571,1602.79461607143,NA,"",NA,NA
"5",5,"Sockeye","Eshamy-Sockeye","60.47",-147.94,"PWS","GoA","AK",1964,2006,35,28.1032285714286,63.7378071428571,"Rich Brenner, 2017, ADF&G, Juneau, AK","the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns.",NA,NA
"6",6,"Sockeye","Fennell-Sockeye","49.12",-123.06,"Fraser River","SC","BC",1963,2011,46,3.75667391304348,23.2729130434783,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,NA,NA
"7",7,"Sockeye","Early Stuart-Sockeye","49.12",-123.06,"Fraser","SC","BC",1948,2015,68,41.4865147058823,276.007014705882,"E. Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
"8",8,"Sockeye","Late Stuart-Sockeye","49.12",-123.06,"Fraser","SC","BC",1948,2015,68,130.074514705882,492.661941176471,"E. Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
"9",9,"Sockeye","Stellako-Sockeye","49.12",-123.06,"Fraser","SC","BC",1948,2015,68,55.2149558823529,441.114161764706,"E. Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
"10",10,"Sockeye","Bowron-Sockeye","49.12",-123.06,"Fraser","SC","BC",1948,2015,68,4.35298529411765,35.0742205882353,"E. Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
