CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-20-01,SX,Alastair,1960,"3,500",1.00,"3,500",1.11,"3,882",2.00,"7,763","2,834",24.8%,"10,597","3,688",32.2%,"11,451",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1961,"13,250",1.00,"13,250",1.11,"14,695",2.00,"29,389","12,392",29.3%,"41,781","12,855",30.4%,"42,244",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1962,"9,945",1.00,"9,945",1.11,"11,029",2.00,"22,058","9,609",29.1%,"31,667","10,990",33.3%,"33,049",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1963,"9,000",1.00,"9,000",1.11,"9,981",2.00,"19,962","3,820",15.2%,"23,783","5,119",20.4%,"25,081",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1964,"1,900",1.00,"1,900",1.11,"2,107",2.00,"4,214","1,719",27.7%,"5,933","1,998",32.2%,"6,212",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1965,"7,900",1.00,"7,900",1.11,"8,761",2.00,"17,523","4,852",20.1%,"22,375","6,588",27.3%,"24,110",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1966,"8,400",1.00,"8,400",1.11,"9,316",2.00,"18,632","10,734",35.8%,"29,366","11,369",37.9%,"30,001",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1967,"12,500",1.00,"12,500",1.11,"13,863",2.00,"27,726","16,810",35.4%,"44,535","19,754",41.6%,"47,480",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1968,"15,000",1.00,"15,000",1.11,"16,635",2.00,"33,271","18,114",34.4%,"51,384","19,388",36.8%,"52,659",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1969,"3,000",1.00,"3,000",1.11,"3,327",2.00,"6,654","2,610",27.4%,"9,264","2,886",30.3%,"9,540",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1970,"2,250",1.00,"2,250",1.11,"2,495",2.00,"4,991","2,095",29.2%,"7,085","2,188",30.5%,"7,179",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1971,"1,150",1.00,"1,150",1.11,"1,275",2.00,"2,551","1,216",31.9%,"3,767","1,259",33.0%,"3,810",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1972,"4,000",1.00,"4,000",1.11,"4,436",2.00,"8,872","4,102",30.6%,"12,974","4,544",33.9%,"13,417",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1973,"4,000",1.00,"4,000",1.11,"4,436",2.00,"8,872","5,042",35.4%,"13,914","5,381",37.8%,"14,253",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1974,"1,750",1.00,"1,750",1.11,"1,941",2.00,"3,882","2,524",38.4%,"6,406","2,686",40.9%,"6,568",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1975,600,1.00,600,1.11,665,2.00,"1,331",437,24.5%,"1,768",454,25.5%,"1,785",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1976,"3,000",1.00,"3,000",1.11,"3,327",2.00,"6,654","3,215",31.6%,"9,869","3,510",34.5%,"10,164",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1977,"7,000",1.00,"7,000",1.11,"7,763",2.00,"15,526","7,387",31.0%,"22,913","8,325",34.9%,"23,852",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1978,"9,000",1.00,"9,000",1.11,"9,981",2.00,"19,962","9,819",31.3%,"29,781","11,378",36.3%,"31,341",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1979,"9,000",1.00,"9,000",1.11,"9,981",2.00,"19,962","9,173",30.4%,"29,136","10,232",33.9%,"30,195",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1980,"15,000",1.00,"15,000",1.11,"16,635",2.00,"33,271","13,283",25.6%,"46,554","18,546",35.8%,"51,817",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1981,900,1.00,900,1.11,998,2.00,"1,996",959,31.4%,"2,955","1,057",34.6%,"3,054",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1982,"4,750",1.00,"4,750",1.11,"5,268",2.00,"10,536","6,922",37.6%,"17,458","7,863",42.7%,"18,398",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1983,"6,500",1.00,"6,500",1.11,"7,209",2.00,"14,417","3,254",16.5%,"17,671","5,270",26.8%,"19,687",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1984,"4,000",1.00,"4,000",1.11,"4,436",2.00,"8,872","3,383",25.8%,"12,255","4,224",32.3%,"13,096",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1985,"4,000",1.00,"4,000",1.11,"4,436",2.00,"8,872","3,579",27.6%,"12,451","4,113",31.7%,"12,985",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1986,"10,500",1.00,"10,500",1.11,"11,645",2.00,"23,290","8,587",24.4%,"31,876","11,964",33.9%,"35,253",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1987,"5,000",1.00,"5,000",1.11,"5,545",2.00,"11,090","2,549",18.2%,"13,639","2,907",20.8%,"13,997",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1988,"6,500",1.00,"6,500",1.11,"7,209",2.00,"14,417","8,408",34.3%,"22,825","10,113",41.2%,"24,530",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1989,"5,500",1.36,"7,466",1.11,"8,280",2.00,"16,560","5,383",22.7%,"21,943","7,129",30.1%,"23,689",2.00,3.68,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
SX_L-20-01,SX,Alastair,1990,"5,000",1.00,"5,000",1.11,"5,545",2.00,"11,090","4,356",25.8%,"15,447","5,797",34.3%,"16,887",2.00,5.00,4.51,Alastair,[LOOKUP CU],Sockeye Model,04
