AgeComp,Year,RunAge3,RunAge4,RunAge5,RunAge6,RunAge7,Total
KwinageeseAnnual,1981,0,0.95,0.05,0,0,1
KwinageeseAnnual,1982,0.18,0.59,0.23,0,0,1
KwinageeseAnnual,1983,0,0.55,0.45,0,0,1
KwinageeseAnnual,1985,0,0.99,0.01,0,0,1
KwinageeseAnnual,1986,0,0.05,0.95,0,0,1
KwinageeseAnnual,1987,0,0.02,0.97,0.01,0,1
KwinageeseAnnual,1988,0,0.25,0.6,0.15,0,1
KwinageeseAnnual,1989,0,0.91,0.09,0,0,1
KwinageeseAnnual,1990,0,0.07,0.92,0.01,0,1
KwinageeseAnnual,1991,0,0.16,0.83,0.01,0,1
KwinageeseAnnual,1992,0.01,0.11,0.77,0.11,0,1
KwinageeseAnnual,1993,0,0.93,0.05,0.02,0,1
KwinageeseAnnual,1994,0,0.09,0.91,0,0,1
KwinageeseAnnual,1995,0,0.76,0.21,0.02,0,0.99
KwinageeseAnnual,1996,0,0.47,0.52,0.01,0,1
KwinageeseAnnual,1997,0,0.87,0.13,0,0,1
KwinageeseAnnual,1998,0,0.2,0.8,0.01,0,1.01
KwinageeseAnnual,1999,0,0.73,0.17,0.09,0,0.99
KwinageeseAnnual,2000,0,0.21,0.75,0.04,0,1
KwinageeseAnnual,2001,0,0.75,0.23,0.02,0,1
KwinageeseAnnual,2012,0,0.32,0.68,0,0,1
MeziadinAnnual,1959,0,0.17,0.8,0.02,0,0.99
MeziadinAnnual,1964,0,0.04,0.94,0.02,0,1
MeziadinAnnual,1965,0.01,0.56,0.4,0.02,0,0.99
MeziadinAnnual,1966,0,0.16,0.83,0.01,0,1
MeziadinAnnual,1967,0,0.45,0.38,0.17,0,1
MeziadinAnnual,1968,0,0.11,0.85,0.04,0,1
MeziadinAnnual,1969,0,0.5,0.46,0.03,0,0.99
MeziadinAnnual,1970,0,0.2,0.75,0.05,0,1
MeziadinAnnual,1971,0.01,0.25,0.71,0.03,0,1
MeziadinAnnual,1972,0.01,0.35,0.61,0.02,0,0.99
MeziadinAnnual,1973,0,0.3,0.65,0.05,0,1
MeziadinAnnual,1974,0,0.16,0.73,0.12,0,1.01
MeziadinAnnual,1975,0,0.16,0.71,0.13,0,1
MeziadinAnnual,1976,0,0.22,0.71,0.07,0,1
MeziadinAnnual,1977,0,0.24,0.72,0.04,0,1
MeziadinAnnual,1978,0,0.08,0.76,0.16,0,1
MeziadinAnnual,1979,0,0.13,0.82,0.05,0,1
MeziadinAnnual,1980,0,0.18,0.77,0.05,0,1
MeziadinAnnual,1981,0,0.43,0.54,0.02,0,0.99
MeziadinAnnual,1982,0,0.08,0.84,0.08,0,1
MeziadinAnnual,1984,0,0.09,0.74,0.17,0,1
MeziadinAnnual,1985,0,0.32,0.51,0.18,0,1.01
MeziadinAnnual,1986,0,0.11,0.61,0.28,0,1
MeziadinAnnual,1987,0,0.15,0.74,0.11,0,1
MeziadinAnnual,1988,0,0.13,0.82,0.05,0,1
MeziadinAnnual,1989,0,0.18,0.43,0.39,0,1
MeziadinAnnual,1990,0,0.19,0.68,0.13,0,1
MeziadinAnnual,1991,0,0.46,0.47,0.07,0,1
MeziadinAnnual,1992,0,0.44,0.5,0.06,0,1
MeziadinAnnual,1993,0,0.33,0.6,0.07,0,1
MeziadinAnnual,1994,0,0.14,0.76,0.1,0,1
MeziadinAnnual,1995,0,0.5,0.43,0.07,0,1
MeziadinAnnual,1996,0,0.07,0.87,0.06,0,1
MeziadinAnnual,1997,0,0.3,0.53,0.16,0,0.99
MeziadinAnnual,1998,0,0.22,0.68,0.09,0,0.99
MeziadinAnnual,1999,0,0.31,0.64,0.06,0,1.01
MeziadinAnnual,2000,0,0.23,0.5,0.27,0,1
MeziadinAnnual,2001,0,0.28,0.4,0.32,0,1
MeziadinAnnual,2002,0,0.46,0.51,0.03,0,1
MeziadinAnnual,2003,0,0.21,0.67,0.12,0,1
MeziadinAnnual,2004,0,0.28,0.66,0.05,0,0.99
MeziadinAnnual,2005,0,0.17,0.68,0.15,0,1
MeziadinAnnual,2006,0,0.18,0.56,0.26,0,1
MeziadinAnnual,2007,0,0.05,0.69,0.26,0,1
MeziadinAnnual,2008,0,0.24,0.66,0.1,0,1
MeziadinAnnual,2009,0,0.11,0.76,0.13,0,1
MeziadinAnnual,2010,0.03,0.24,0.68,0.06,0,1.01
MeziadinAnnual,2011,0.01,0.32,0.58,0.09,0,1
MeziadinAnnual,2012,0.05,0.16,0.62,0.18,0,1.01
MeziadinAnnual,2013,0.02,0.33,0.53,0.12,0,1
MeziadinAnnual,2014,0.09,0.25,0.53,0.13,0,1
MeziadinAnnual,2015,0.01,0.4,0.41,0.18,0,1
MeziadinAnnual,2016,0.04,0.21,0.62,0.14,0,1.01
MeziadinAnnual,2017,0.07,0.26,0.47,0.2,0,1
MeziadinAnnual,2018,0.1,0.44,0.38,0.08,0,1
MeziadinAnnual,2019,0.11,0.45,0.33,0.11,0,1
MeziadinAnnual,2020,0.07,0.33,0.56,0.04,0,1
MeziadinAnnual,2021,0.255550521,0.373810603,0.319438151,0.051200725,0,1
MeziadinAnnual,2022,0.108571429,0.474857143,0.364,0.052571429,0,1
